642	Western Frisian	fy	fry	fry	Frysk
643	Haitian	ht	hat	hat	Kreyòl ayisyen
644	Sichuan Yi	ii	iii	iii	ꆇꉙ
645	Ido	io	ido	ido	Ido
646	Kalaallisut	kl	kal	kal	kalaallisut
647	Kirghiz	ky	kir	kir	кыргыз тили
648	Luxembourgish	lb	ltz	ltz	Lëtzebuergesch
649	Limburgish	li	lim	lim	Limburgs
650	Luba-Katanga	lu	lub	lub	
651	Norwegian Bokmål	nb	nob	nob	Norsk bokmål
652	North Ndebele	nd	nde	nde	isiNdebele
653	Norwegian Nynorsk	nn	nno	nno	Norsk nynorsk
654	South Ndebele	nr	nbl	nbl	Ndébélé
655	Chichewa	ny	nya	nya	chiCheŵa
656	Occitan	oc	oci	oci	Occitan
657	Ossetian	os	oss	oss	Ирон æвзаг
658	Raeto-Romance	rm	roh	roh	rumantsch grischun
659	Kirundi	rn	run	run	kiRundi
660	Serbo-Croatian	sh		hbs	Српскохрватски
661	Swati	ss	ssw	ssw	SiSwati
662	Walloon	wa	wln	wln	Walon
663	Low German				Plattdüütsch
664	Konjo				
665	Wayuu				
666	Bahasa Indonesia				
667	Seraiki				
668	Toba, Batak				
669	en				
670	nl				
671	de				
672	fr				
673	br				
674	pt				
675	es				
676	da				
677	no				
678	it				
679	sv				
680	ja				
681	ru				
682	wo				
683	ha				
684	gl				
685	sp				
695	yp				
696	ge				
697	cl				
698	ya				
699	ev				
700	al				
701	tm				
702	fl				
703	ji				
704	Prussian, Old				
705	Sicilian				
706	Andamanese				
707	Saipanese Carolinian				
708	Slavic 				
709	Jawa				
710	Bali				
711	Shuar				
712	Quichua				
713	Colorado				
714	Castellano				
715	Acual Jivaro				
716	WAO				
717	nombre Tsachila				
718	Malgache				
719	Kimaasai				
720	Kani				
721	Huaorani				
722	Barasana				
723	Achual Jivaro				
724	English;English				
725	nombre Cofán				
726	Patamona				
727	Cayapa				
728	N. Cófan				
729	Thai name				
730	Bishari				
731	Berber				
732	Tzotzil				
733	Ib dialect?				
734	Tzeltal				
735	Ifugao dialect				
736	Ifugao				
737	M				
738	Tobelorese				
739	Aleria Piaguaje - inf				
740	spanish, Tacana				
741	Guamanian name				
742	Nigritis				
743	Makiritari				
744	(T)				
745	by				
746	(M)				
747	?				
748	makua				
749	Mayna Jivaro				
750	Spansih				
751	Mestizo Quichua/Spani				
752	Maya Jivaro				
753	Enga language				
754	Huitoto				
755	Hagen: Wankl				
756	Shimaorais				
757	Shibushi				
758	Barbadian				
759	Huambisa Jivaro				
760	Ibo, Yoruba				
761	W. Nakanai				
762	Aingivimborona				
763	Meo				
764	Lissongo				
765	Lissono				
766	Huastec				
767	Manobo				
768	Enga				
769	Nepalese				
770	Pakistan				
771	Mexican Spanish				
772	Kashmir				
773	Himalayan				
774	Korea				
775	lp				
776	au				
777	hw				
778	ek				
779	in				
780	bu				
781	np				
782	tu				
